name category barcode brand id manufacturer image_urls base_price offer_price discount
"Колготки Innamore Fleur 40 Den цвет Daino размер 5" Колготки 8051403006252 Innamore 34162 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34162/images/e0783c3e1e0f83c0c860.jpg'] 281 281 
"Колготки Glamour Edem 40 Den цвет Nero размер 2" Колготки 8051403107850 Glamour 34486 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34486/images/b0d8181c1e0f26a351b0.jpg'] 298 129 57
"Колготки Innamore Bella 40 Den цвет Daino размер 4" Колготки 6944944000648 Innamore 33955 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33955/images/a070383c1e028241b018.jpg'] 227 182 20
"Колготки Innamore Fleur 40 Den цвет Daino размер 2" Колготки 6944944007661 Innamore 33956 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33956/images/e0783c3e1e0f83c0c860.jpg'] 281 281 
"Колготки Glamour Edem 40 Den цвет Miele размер 4" Колготки 8051403107799 Glamour 34485 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34485/images/b0d8181c1e0f26a351b0.jpg'] 298 129 57
"Колготки Glamour Edem 40 Den цвет Miele размер 3" Колготки 8051403107768 Glamour 34484 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34484/images/01f0da783c1e0f47a351e0.jpg'] 298 129 57
"Колготки Glamour Edem 40 Den цвет Miele размер 2" Колготки 8051403107737 Glamour 34483 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34483/images/c078281c0e0703a1d0c0.jpg'] 298 129 57
"Колготки Glamour Edem 40 Den цвет Daino размер 4" Колготки 8051403107676 Glamour 34482 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34482/images/0180d9582c5e2f06a351c8.jpg'] 298 129 57
"Колготки Glamour Edem 40 Den цвет Daino размер 3" Колготки 8051403107645 Glamour 34481 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34481/images/b0d8181c1e0f26a351b0.jpg'] 298 129 57
"Колготки Glamour Edem 40 Den цвет Daino размер 2" Колготки 8051403107614 Glamour 34480 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34480/images/c078281c0e0703a1d0c0.jpg'] 298 129 57
"Колготки Glamour Edem 20 Den цвет Miele размер 4" Колготки 8051403107430 Glamour 34479 ИТАЛКОМ "['https://api.bonjour-dv.ru/public_v1/products/34479/images/0184d8783c1e0f46b351d8.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34479/images/01b018583c1e0f06a35188.jpg']" 266 119 55
"Колготки Glamour Edem 20 Den цвет Miele размер 3" Колготки 8051403107409 Glamour 34478 ИТАЛКОМ "['https://api.bonjour-dv.ru/public_v1/products/34478/images/01b018583c1e0f06a35188.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34478/images/0184d8783c1e0f46b351d8.jpg']" 266 119 55
"Колготки Glamour Edem 20 Den цвет Daino размер 4" Колготки 8051403107317 Glamour 34477 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/34477/images/01f0b9583c5e0f26a35198.jpg'] 266 119 55
"Освежитель воздуха Airwick Pure Цветущая вишня 250 мл" "Аэрозоли, гели" 5011417563892 Airwick 33908 " Reckitt" ['https://api.bonjour-dv.ru/public_v1/products/33908/images/f03018090482c1209058.jpg'] 552 359 35
"Средство Sanfor для выгребных ям и септиков 40г" "Для сантехники" 4602984009909 Sanfor 34610 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/34610/images/d443335b0ec783c000.jpg'] 173 173 
"Чистящий гель Domestos Ультра Блеск для унитаза 500 мл" Универсальные 8714100707890 Domestos 34584 "Юнилевер Русь ООО" "['https://api.bonjour-dv.ru/public_v1/products/34584/images/eb43e7eb6fe7e766.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34584/images/e0e060e1e0e0e18.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34584/images/10181c0e030100c0e030.jpg']" 217 217 
"Чистящий гель Domestos Ультра Блеск для унитаза 1 л" Универсальные 8714100707876 Domestos 34583 "Юнилевер Русь ООО" "['https://api.bonjour-dv.ru/public_v1/products/34583/images/cbc3c7cb4fc7e766.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34583/images/e0e160e1e0e0e0c.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34583/images/10180c070301c0c000.jpg']" 308 308 
"Стиральный порошок KeraSys Perfect multi solution 1 кг" "Стиральные порошки" 8801046890707 KeraSys 34496 KeraSys ['https://api.bonjour-dv.ru/public_v1/products/34496/images/e14f2197cb64b3f800.jpg'] 377 377 
"Порошок для посудомоечных машин Somat 1.5 кг" "Для посудомоечных машин" 9000101081046 Somat 34428 Henkel ['https://api.bonjour-dv.ru/public_v1/products/34428/images/603038381aac572b59c8.jpg'] 1056 740 30
"Колготки Malemi Stella 40 Den цвет Grafite размер 3" Колготки 6944970013094 Malemi 36133 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/36133/images/a072390c0602835369b0.jpg'] 204 204 
"Колготки Glamour Betulla 20 Den цвет Nero размер 4" Колготки 8300491274464 Glamour 36131 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/36131/images/01d26976309c4c270995c8.jpg'] 198 198 
"Колготки Malemi Stella 40 Den цвет Daino размер 4" Колготки 6944944052869 Malemi 36119 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/36119/images/a072390c0602835369b0.jpg'] 204 204 
"Колготки Innamore Ottima 40 Den цвет Daino размер XXL" Колготки 6944970545052 Innamore 33777 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33777/images/0160da783e1f0d0683c9ec.jpg'] 283 283 
"Колготки Incanto Cosmo 70 Den цвет Daino шелковистые размер 4" Колготки 6944944006558 Incanto 33390 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33390/images/01a4d37d2cd66934925926.jpg'] 347 347 
"Колготки Incanto Cosmo 70 Den цвет Nero шелковистые размер 5" Колготки 6944950433171 Incanto 33376 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33376/images/01a4d2793c9e4d269359a4.jpg'] 347 347 
"Колготки Incanto Cosmo 70 Den цвет Nero шелковистые размер 2" Колготки 6944944006565 Incanto 33366 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33366/images/01a4d2793c9e4d269359a4.jpg'] 347 347 
"Мыло туалетное Детское Ромашка 90г" "Туалетное мыло" 4601313011651 "Детское Весна" 33402 "Весна ОАО ПКК" ['https://api.bonjour-dv.ru/public_v1/products/33402/images/0f35198cc6000000.jpg'] 41 41 
"Дезодорант-антиперспирант спрей Fa Men Invisible Power освежающий аромат, 72 ч 150 мл" Спреи 4015000951944 "Fa Men" 33400 Schwarzkopf "['https://api.bonjour-dv.ru/public_v1/products/33400/images/c663b99cc8663b198ca7.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33400/images/7038140a06028140e050.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33400/images/6030180c070301c0c060.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33400/images/0ee4a25b2fd40000.jpg']" 303 258 15
"Чистая Линия шампунь против выпадения волос Конский каштан 400 мл" "Шампуни для волос" 8714100717509 "Чистая линия" 34216 "Юнилевер Русь ООО" "['https://api.bonjour-dv.ru/public_v1/products/34216/images/4bcbc347c7c7cf4f.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34216/images/80c0c0c0000.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34216/images/6030180c060301c0c060.jpg']" 246 185 25
